"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28509-39286","TE","O.J.","O.J. Howard","Howard","11.233333587646484","3","5600","TB@CHI","TB","CHI","","","","",""
"28509-30297","TE","Trey","Trey Burton","Burton","6.566666920979817","3","5600","TB@CHI","CHI","TB","","","","",""
"28509-22288","WR","Cole","Cole Beasley","Beasley","6.400000254313151","3","5600","DET@DAL","DAL","DET","","","","",""
"28509-33260","WR","DeVante","DeVante Parker","Parker","5","1","5500","MIA@NE","MIA","NE","","","","",""
"28509-32243","WR","Marquise","Marquise Goodwin","Goodwin","5.150000095367432","2","5500","SF@LAC","SF","LAC","","","","",""
"28509-40442","RB","Aaron","Aaron Jones","Jones","5.199999809265137","1","5500","BUF@GB","GB","BUF","","","","",""
"28509-11779","RB","LeGarrette","LeGarrette Blount","Blount","3.7333332697550454","3","5500","DET@DAL","DET","DAL","","","","",""
"28509-11864","RB","Chris","Chris Ivory","Ivory","8.200000127156576","3","5500","BUF@GB","BUF","GB","","","","",""
"28509-6759","WR","Brandon","Brandon Marshall","Marshall","7.5","3","5500","SEA@ARI","SEA","ARI","","","","",""
"28509-38509","RB","Wendell","Wendell Smallwood","Smallwood","9.050000190734863","2","5500","PHI@TEN","PHI","TEN","","","","",""
"28509-25272","TE","Eric","Eric Ebron","Ebron","9.666666666666666","3","5500","HOU@IND","IND","HOU","","","","",""
"28509-41872","TE","Evan","Evan Engram","Engram","7.133333206176758","3","5500","NO@NYG","NYG","NO","O","Knee - mcl","","",""
"28509-62535","WR","Tyrell","Tyrell Williams","Williams","6.233333587646484","3","5400","SF@LAC","LAC","SF","","","","",""
"28509-25760","WR","Allen","Allen Hurns","Hurns","2.366666634877523","3","5400","DET@DAL","DAL","DET","","","","",""
"28509-25813","WR","Phillip","Phillip Dorsett","Dorsett","7.666666666666667","3","5400","MIA@NE","NE","MIA","Q","Knee","","",""
"28509-45439","WR","Corey","Corey Davis","Davis","7.200000127156575","3","5400","PHI@TEN","TEN","PHI","","","","",""
"28509-60858","WR","Christian","Christian Kirk","Kirk","6.033333460489909","3","5400","SEA@ARI","ARI","SEA","","","","",""
"28509-45631","RB","Jamaal","Jamaal Williams","Williams","6.266666412353516","3","5400","BUF@GB","GB","BUF","","","","",""
"28509-7761","TE","Jared","Jared Cook","Cook","11.666666666666666","3","5400","CLE@OAK","OAK","CLE","","","","",""
"28509-26251","WR","Robby","Robby Anderson","Anderson","4.366666793823242","3","5400","NYJ@JAC","NYJ","JAC","","","","",""
"28509-33465","RB","Theo","Theo Riddick","Riddick","6.766666412353516","3","5400","DET@DAL","DET","DAL","","","","",""
"28509-26458","WR","Tavon","Tavon Austin","Austin","8.666666666666666","3","5400","DET@DAL","DAL","DET","","","","",""
"28509-41936","WR","Anthony","Anthony Miller","Miller","5.333333333333333","3","5400","TB@CHI","CHI","TB","Q","Shoulder","","",""
"28509-40977","TE","Ricky","Ricky Seals-Jones","Seals-Jones","5.700000127156575","3","5300","SEA@ARI","ARI","SEA","","","","",""
"28509-31836","WR","Terrance","Terrance Williams","Williams","1.399999976158142","2","5300","DET@DAL","DAL","DET","","","","",""
"28509-63591","RB","Ronald","Ronald Jones II","Jones II","0","0","5300","TB@CHI","TB","CHI","","","","",""
"28509-56708","TE","Will","Will Dissly","Dissly","10.200000127156576","3","5300","SEA@ARI","SEA","ARI","","","","",""
"28509-6607","WR","Mike","Mike Wallace","Wallace","0","1","5300","PHI@TEN","PHI","TEN","IR","Lower leg","","",""
"28509-22018","WR","Mohamed","Mohamed Sanu","Sanu","6.633333206176758","3","5300","CIN@ATL","ATL","CIN","","","","",""
"28509-40758","RB","Corey","Corey Clement","Clement","9.533333460489908","3","5300","PHI@TEN","PHI","TEN","","","","",""
"28509-41867","RB","Jordan","Jordan Wilkins","Wilkins","6","3","5300","HOU@IND","IND","HOU","","","","",""
"28509-55335","TE","David","David Njoku","Njoku","3.7999998728434243","3","5200","CLE@OAK","CLE","OAK","","","","",""
"28509-24675","WR","Martavis","Martavis Bryant","Bryant","4.699999809265137","2","5200","CLE@OAK","OAK","CLE","","","","",""
"28509-12554","D","Jacksonville","Jacksonville Jaguars","Jaguars","8.333333333333334","3","5200","NYJ@JAC","JAC","NYJ","","","","",""
"28509-24929","WR","Kelvin","Kelvin Benjamin","Benjamin","4.933333396911621","3","5200","BUF@GB","BUF","GB","","","","",""
"28509-60910","WR","Dede","Dede Westbrook","Westbrook","9.266666412353516","3","5200","NYJ@JAC","JAC","NYJ","","","","",""
"28509-7870","TE","Benjamin","Benjamin Watson","Watson","6.466666539510091","3","5200","NO@NYG","NO","NYG","","","","",""
"28509-39859","TE","Jack","Jack Doyle","Doyle","5.25","2","5200","HOU@IND","IND","HOU","Q","Hip","","",""
"28509-29734","RB","Ty","Ty Montgomery","Montgomery","5.900000254313151","3","5100","BUF@GB","GB","BUF","","","","",""
"28509-21970","RB","Doug","Doug Martin","Martin","3.2999998728434243","3","5100","CLE@OAK","OAK","CLE","","","","",""
"28509-31269","RB","Corey","Corey Grant","Grant","3.8999999364217124","3","5100","NYJ@JAC","JAC","NYJ","","","","",""
"28509-6774","WR","Pierre","Pierre Garcon","Garcon","4.133333206176758","3","5100","SF@LAC","SF","LAC","","","","",""
"28509-15212","WR","Terrelle","Terrelle Pryor","Pryor","6.599999745686849","3","5100","NYJ@JAC","NYJ","JAC","","","","",""
"28509-33703","WR","Ryan","Ryan Grant","Grant","8.299999872843424","3","5100","HOU@IND","IND","HOU","","","","",""
"28509-32703","WR","Jakeem","Jakeem Grant","Grant","12.166666666666666","3","5100","MIA@NE","MIA","NE","","","","",""
"28509-83081","RB","Chase","Chase Edmonds","Edmonds","4.100000063578288","3","5000","SEA@ARI","ARI","SEA","","","","",""
"28509-63625","RB","Nyheim","Nyheim Hines","Hines","7.5","3","5000","HOU@IND","IND","HOU","","","","",""
"28509-40126","TE","Austin","Austin Hooper","Hooper","8.033333460489908","3","5000","CIN@ATL","ATL","CIN","","","","",""
"28509-48344","WR","Albert","Albert Wilson","Wilson","12.593332926432291","3","5000","MIA@NE","MIA","NE","","","","",""
"28509-54753","WR","Taylor","Taylor Gabriel","Gabriel","6.033333460489909","3","5000","TB@CHI","CHI","TB","","","","",""
"28509-27229","RB","Ameer","Ameer Abdullah","Abdullah","7.992857251848493","14","5000","DET@DAL","DET","DAL","","","","",""
"28509-22163","WR","Rishard","Rishard Matthews","Matthews","0.8666666348775228","3","5000","PHI@TEN","TEN","PHI","","","","",""
"28509-31406","RB","Alfred","Alfred Blue","Blue","5.133333206176758","3","5000","HOU@IND","HOU","IND","","","","",""
